,Apr-25 (mb),2991603593,3005992431,3019858340,3037885950,3051482952,3073819737,3088209048,3102831898,3117565686,3132275148,3146908306
USER 100,6664.4355,7657.2021,6742.7803,5395.5703,5782.0176,6480.4727,10239.9316,9145.7529,11843.1543,9866.8105,9945.1084,8150.6846
USER 101,,,,,,,,,17.4551,1282.7148,2591.5615,4127.0986
USER 102,1580.9629,667.8633,1020.3682,493.0615,484.9404,1872.4805,3713.9092,4195.9609,3286.0889,3174.5254,3330.1201,4752.8984
USER 103,1020.6279,980.0557,601.623,1265.5391,290.3281,950.9229,676.4941,940.1152,931.5859,1673.375,480.1396,1183.3457
USER 104,1171.9326,242.1514,572.2686,2159.2275,1047.8545,1192.209,1274.4697,1161.2783,2641.2031,3512.4854,2868.4854,2946.1963
USER 105,21520.1504,24942.1777,21876.7871,17590.2002,33023.5928,16876.375,14718.3955,11757.0225,19453.5137,29529.1348,11737.2744,17995.5449
USER 106,5062.7207,5410.6592,,,,,,,,,,
USER 107,4876.834,2831.6787,5222.7744,5544.5469,6341.8906,5813.8027,2660.4141,3239.6777,7125.5547,5568.4199,8217.6211,17075.0068
USER 108,10240,10240,10240,10240,10239.9951,10240,10581.334,10240,10240,10240,10240,10240
USER 109,1284.9971,2891.6562,1455.1924,3082.6211,1159.8223,459.5156,918.791,176.1377,658.8877,972.3477,964.5898,2098.3037
USER 110,10239.9902,3265.5703,7121.9062,9035.1621,9054.2158,9843.7891,7125.1816,7970.54,5671.3994,8694.7051,5642.1816,10683.2891
USER 111,6004.5166,1647.9199,6426.1758,4167.4668,4173.2705,3517.4951,3872.2002,1636.2734,1302.7021,290.6689,197.4922,161.8662
USER 112,4363.5908,6876.4287,9378.5596,7531.8936,6711.5059,7477.5547,6962.5977,10240.1914,9130.4658,6021.6924,6000.584,4472.0811
USER 113,6574.4443,9020.5303,7831.9219,10554.6006,10240,10043.4336,7322.2861,6466.0518,9224.7725,10240,7331.7754,10639.8457
USER 114,,,,,,2921.5576,5665.9316,2130.5977,1848.3984,2050.7627,1326.2949,
USER 115,,,,21719.3457,22878.6895,34095.3848,27067.0635,22360.1953,34806.4727,44042.0713,44735.3535,30840.9873
USER 116,252.542,580.0381,802.2754,894.667,901.1152,1300.3525,3560.3613,935.2354,1239.668,2295.8682,1697.8008,979.7949
USER 117,2677.8291,2382.8838,1643.6094,1961.7061,2023.251,2806.0791,2024.2578,1483.2383,2472.5801,1166.6123,3315.4512,2704.5977
USER 118,1291.208,695.6055,1311.8047,447.3145,4467.2979,633.4707,911.0215,224.2959,58.6025,786.665,1595.1865,1271.9648
USER 119,10240,8053.8193,5666.6406,4098.6641,6233.9385,3301.5088,7655.4004,6113.9414,5057.4844,3492.3301,6574.2402,7083.5127
USER 120,4392.2803,2457.2402,2311.6816,3598.5088,5143.2061,9841.5449,2799.5449,3605.9639,4879.9189,1607.3086,4057.1338,3309.7578
USER 121,803.9355,312.0342,342.0518,667.8184,150.085,253.2305,389.5312,393.8047,705.8115,1061.2949,2080.9404,1442.2002
USER 122,1796.8047,783,623.5254,454.4902,431.418,1452.5186,548.4395,1279.8379,587.8193,4440.9893,1183.7822,1588.0586
USER 123,10240,4817.75,6175.8545,8375.2539,9460.4746,7912.9971,8528.1328,9928.7549,8418.1992,6512.3027,4639.8916,10602.9766
USER 124,2126.6143,1815.3779,1717.459,2996.3945,2612.1152,3033.8398,2151.2051,2200.2061,3002.3154,3489.2549,1485.1816,1900.2412
USER 125,1532.6836,2739.3359,6326.1797,3876.2275,5014.291,5109.2832,3212.3428,2621.3232,2958.6855,2292.8857,1047.5771,1984.5273
USER 126,5251.1689,2662.1914,3647.7197,5409.5254,9894.3789,6289.8955,4093.25,1675.9971,2775.5059,3545.1445,5521.6328,3878.7969
USER 127,2609.0049,5078.9453,1390.5938,4683.8857,4157.2119,6783.3447,4095.752,3724.2959,5158.5811,5045.5576,3569.0449,2040.5557
USER 128,10240,7428.7881,10240,6179.9189,8126.7412,9572.4268,6312.1719,10240,8385.748,10240,9791.4766,8874.7012
USER 129,,,,,970.3545,1368.7158,1966.9775,749.2891,390.9287,300.7178,414.1289,1971.6914
USER 130,1508.4971,1300.1553,4008.5791,13136.3926,3165.2402,3680.5342,4553.9424,3175.6162,18656.1729,21335.3359,6287.1221,2101.0605
USER 131,2919.5557,2988.3818,4039.9883,3839.2617,6742.1074,8982.1885,4600.1426,9430.4824,3467.5918,3637.4307,2940.2617,2817.9326
USER 132,13789.376,10998.4922,6712.5625,15020.7559,11873.2197,10532.4932,15793.9951,2644.125,7939.9346,4614.5996,15942.1084,9057.6494
USER 133,1219.1396,3069.8965,1661.4316,2118.541,4888.1514,3294.6953,1553.5732,807.5146,908.6914,978.4541,1411.5205,867.3643
USER 134,218.332,1188.2119,285.8789,1217.3916,1141.9971,310.4189,875.3096,376.1934,860.8867,512.4814,967.8301,331.252
USER 135,3052.0703,5247.8223,6895.8936,10551.5654,10056.4863,10103.6016,8277.665,8066.1123,8449.5879,7207.8105,9381.2695,8287.5186
USER 136,14074.2441,17991.1289,24567.7646,25210.8877,17632.2812,28028.1064,23178.9355,20798.2803,13492.4873,15651.7607,13550.7324,10464.0996
USER 137,744.3604,945.5781,1057.4434,2290.4668,1167.1084,1066.6748,2008.8691,1430.8076,864.1777,1033.0479,919.3047,2282.0029
